标签,疾病名字,top3,top5,top8,top10,该类别实际样本数,该类别训练采样数
0.0,IgA肾病,0.37(11/29),0.51(15/29),0.62(18/29)
1.0,三尖瓣关闭不全,0.0(0/1),0.0(0/1),0.0(0/1)
2.0,上消化道出血,0.64(16/25),0.72(18/25),0.72(18/25)
3.0,下消化道出血,0.6(3/5),0.8(4/5),0.8(4/5)
4.0,主动脉夹层,0.12(1/8),0.12(1/8),0.25(2/8)
5.0,主动脉瓣关闭不全,0.0(0/2),0.0(0/2),0.0(0/2)
6.0,主动脉瓣狭窄,0.0(0/2),0.0(0/2),0.0(0/2)
7.0,主动脉瓣狭窄伴关闭不全,0.0(0/3),0.0(0/3),0.0(0/3)
8.0,乳腺恶性肿瘤,0.90(30/33),0.93(31/33),0.93(31/33)
9.0,二尖瓣关闭不全,0.5(1/2),0.5(1/2),0.5(1/2)
10.0,二尖瓣狭窄,0.0(0/2),0.0(0/2),0.5(1/2)
11.0,二尖瓣脱垂,0.0(0/6),0.0(0/6),0.0(0/6)
13.0,低血压,0.0(0/6),0.16(1/6),0.33(2/6)
15.0,低血糖症,0.0(0/2),0.5(1/2),0.5(1/2)
16.0,低钠血症,0.0(0/3),0.0(0/3),0.0(0/3)
17.0,低钾血症,0.0(0/8),0.0(0/8),0.0(0/8)
19.0,偏头痛,0.0(0/3),0.0(0/3),0.0(0/3)
20.0,冠状动脉狭窄,0.08(3/35),0.22(8/35),0.37(13/35)
21.0,冠状动脉瘘,0.0(0/2),0.0(0/2),0.0(0/2)
22.0,冠状动脉粥样硬化性心脏病,0.99(1807/1823),0.99(1815/1823),0.99(1819/1823)
23.0,前列腺增生,0.95(142/148),0.96(143/148),0.97(145/148)
24.0,前列腺恶性肿瘤,0.90(66/73),0.94(69/73),0.97(71/73)
25.0,前列腺炎,0.0(0/4),0.0(0/4),0.0(0/4)
26.0,动脉导管未闭,0.25(1/4),0.25(1/4),0.25(1/4)
28.0,原发性血小板增多症,0.0(0/1),1.0(1/1),1.0(1/1)
29.0,原发性醛固酮增多症,0.37(3/8),0.5(4/8),0.75(6/8)
30.0,反射性晕厥,0.0(0/1),0.0(0/1),0.0(0/1)
31.0,变应性肉芽肿性脉管炎,0.0(0/1),0.0(0/1),0.0(0/1)
35.0,呼吸衰竭,0.69(43/62),0.80(50/62),0.88(55/62)
36.0,喉恶性肿瘤,1.0(4/4),1.0(4/4),1.0(4/4)
37.0,嗜酸粒细胞增多综合征,0.0(0/3),0.0(0/3),0.0(0/3)
38.0,多发性末梢神经炎,0.5(1/2),1.0(2/2),1.0(2/2)
39.0,多发性硬化,0.5(2/4),0.5(2/4),0.5(2/4)
40.0,多发性骨髓瘤,0.58(17/29),0.68(20/29),0.82(24/29)
42.0,室间隔缺损,1.0(3/3),1.0(3/3),1.0(3/3)
44.0,小肠良性肿瘤,0.0(0/3),0.0(0/3),0.0(0/3)
45.0,小脑扁桃体下疝畸形,0.55(10/18),0.72(13/18),0.83(15/18)
46.0,尿潴留,0.2(1/5),0.2(1/5),0.4(2/5)
48.0,尿道结石,0.0(0/2),0.0(0/2),0.0(0/2)
50.0,帕金森病,0.25(1/4),0.25(1/4),0.25(1/4)
51.0,库欣综合征,0.0(0/3),0.33(1/3),0.33(1/3)
52.0,弥漫性肺泡出血综合征,0.0(0/1),0.0(0/1),0.0(0/1)
54.0,强直性脊柱炎,0.75(12/16),0.75(12/16),0.75(12/16)
55.0,心内膜炎,0.14(1/7),0.14(1/7),0.14(1/7)
56.0,心力衰竭,0.74(116/155),0.82(128/155),0.87(136/155)
57.0,心包炎,0.0(0/5),0.2(1/5),0.4(2/5)
58.0,心包积液,0.5(1/2),0.5(1/2),1.0(2/2)
59.0,心律失常,0.9(477/530),0.95(505/530),0.97(516/530)
60.0,心房良性肿瘤,0.0(0/4),0.0(0/4),0.0(0/4)
61.0,心源性晕厥,0.0(0/2),0.0(0/2),0.0(0/2)
63.0,心肌损害,0.0(0/4),0.0(0/4),0.0(0/4)
64.0,心肌炎,0.0(0/10),0.1(1/10),0.3(3/10)
66.0,心脏神经症,0.0(0/8),0.12(1/8),0.37(3/8)
68.0,急性播散性脑脊髓炎,0.0(0/1),0.0(0/1),0.0(0/1)
69.0,急性气管支气管炎,0.0(0/1),0.0(0/1),0.0(0/1)
70.0,急性肝衰竭,0.0(0/2),0.0(0/2),0.0(0/2)
71.0,急性肾衰竭,0.12(1/8),0.12(1/8),0.12(1/8)
72.0,急性胰腺炎,0.88(74/84),0.95(80/84),0.98(83/84)
73.0,急性腹膜炎,0.33(1/3),0.33(1/3),0.33(1/3)
74.0,慢性肾功能不全,0.51(24/47),0.61(29/47),0.74(35/47)
75.0,慢性腹泻,0.5(1/2),0.5(1/2),1.0(2/2)
76.0,慢性阻塞性肺疾病,0.86(253/292),0.93(273/292),0.96(281/292)
77.0,房间隔缺损,0.3(3/10),0.3(3/10),0.5(5/10)
78.0,扩张型心肌病,0.0(0/5),0.0(0/5),0.0(0/5)
79.0,抗磷脂综合征,0.0(0/3),0.33(1/3),0.33(1/3)
80.0,支气管哮喘,0.58(73/125),0.88(111/125),0.96(120/125)
81.0,支气管恶性肿瘤,0.0(0/6),0.0(0/6),0.0(0/6)
82.0,支气管扩张症,0.68(102/150),0.86(130/150),0.96(144/150)
83.0,支气管炎,0.16(13/77),0.40(31/77),0.58(45/77)
85.0,支气管结核,0.0(0/1),0.0(0/1),0.0(0/1)
88.0,横纹肌溶解,0.5(1/2),0.5(1/2),0.5(1/2)
91.0,气胸,0.82(47/57),0.82(47/57),0.87(50/57)
92.0,消化性溃疡,0.82(53/64),0.84(54/64),0.87(56/64)
93.0,液气胸,0.0(0/4),0.0(0/4),0.5(2/4)
95.0,溃疡性结肠炎,0.92(13/14),0.92(13/14),0.92(13/14)
96.0,炎性肌病,0.4(4/10),0.4(4/10),0.6(6/10)
97.0,炎症后肺间质纤维化,0.0(0/1),0.0(0/1),0.0(0/1)
98.0,烟雾病,0.0(0/3),0.0(0/3),0.0(0/3)
99.0,特发性血小板减少性紫癜,0.0(0/2),0.5(1/2),0.5(1/2)
100.0,特发性间质性肺炎,0.2(1/5),0.4(2/5),0.4(2/5)
101.0,甲状腺功能亢进症,0.8(12/15),0.8(12/15),0.8(12/15)
102.0,甲状腺功能减退,0.0(0/5),0.2(1/5),0.4(2/5)
103.0,甲状腺炎,0.23(3/13),0.38(5/13),0.38(5/13)
104.0,甲状腺肿,0.91(103/112),0.92(104/112),0.93(105/112)
105.0,病毒性肺炎,0.16(1/6),0.16(1/6),0.16(1/6)
106.0,病毒性脑膜炎,0.69(9/13),0.84(11/13),1.0(13/13)
107.0,痛风,0.57(8/14),0.78(11/14),0.85(12/14)
108.0,痴呆,0.0(0/2),0.0(0/2),0.0(0/2)
109.0,癫痫,0.45(9/20),0.55(11/20),0.55(11/20)
110.0,白血病,0.21(3/14),0.21(3/14),0.21(3/14)
111.0,皮层下动脉硬化性脑病,0.0(0/7),0.0(0/7),0.0(0/7)
112.0,直肠息肉,0.4(6/15),0.4(6/15),0.46(7/15)
114.0,睡眠呼吸暂停低通气综合征,0.96(317/327),0.96(317/327),0.97(319/327)
115.0,睾丸扭转,0.75(3/4),0.75(3/4),1.0(4/4)
116.0,短暂性脑缺血发作,0.32(25/77),0.54(42/77),0.71(55/77)
117.0,神经痛,0.42(3/7),0.42(3/7),0.42(3/7)
118.0,类风湿性关节炎,0.91(68/74),0.95(71/74),0.98(73/74)
